reactions,fluxes
GALUi,0.482664425
GAPD,18.03820443
FAS80COA_L,0.016120479
GARFT,0.028495826
GAT1_SC,0.007110283
GCC2cm_copy1,0.221000741
GMPS2,0.014217687
GND,0.802470027
FBA,8.661416962
GHMT2r,0.097091345
GRTT,0.001266609
GK2,0.000975865
GLCS2,0.149258367
GLCt1,10
FBA3,0.263462768
GLNS,0.236185174
GTPCII,0.000284987
GLU5K,0.047411481
H2Ot,-5.64045476
GLUDy,-1.417041956
H2Oter,-0.000633305
H2Otm,-7.529326555
H2Otp,-2.26E-16
HCITSm,0.082387164
HACD4p,7.89E-16
HACD5p,7.89E-16
HACD6p,-3.39E-15
HCO3E,0.757748892
HACD7p,7.89E-16
HACD8p,7.89E-16
HACNHm,0.082387164
HCYSt2p,2.28E-15
HEX1,10
HICITDm,0.082387164
IMPC,-0.047581322
IMPD,0.014217687
HISTD,0.019085496
HISTP,0.019085496
HMGCOAR,-0.003799827
HMGCOASm,-0.003799827
HMGCOAtm,-0.003799827
HSDxi,0.125164008
IPDDI,0.001266609
IPMD,0.085323395
IPPMIa,-0.085323395
IPPMIb,-0.085323395
HSERTA,0.016494705
HSK,0.108669303
HSTPT,0.019085496
IPPSm,0.085323395
KARA1im,0.16149266
KARA2im,0.055471721
ICDHyr,0.251053921
ICDHym,0.263224399
ICDHyp,-2.80E-29
ICL,0.015000682
LEUTA,-0.085323395
IG3PS,0.019085496
IGPDH,0.019085496
IGPS,0.008175386
ILETA,-0.055471721
LNS14DMx,0.000633305
FORt,-0.001488266
LNSTLS,0.000633305
MALOAAtp,-2.14E-15
MALtm,-0.157935123
MAN1PT,0.232566702
MAN6PI,-0.232566702
MANNANter,-0.232566702
MCITDm,0.082387164
MDHm,0.344120903
MDHp,2.14E-15
METAT,0.005383089
MTHFC,0.076077148
MTHFD,0.076077148
MTHFR3,0.01997788
METS,0.01997788
NADH2_u6cm,2.344171511
NADH2_u6m,1.355897851
MEVK2,0.003799827
MFAPS_SC,0.001727194
NADPPPSm,-5.64E-18
NADPt,-1.17E-14
FUM,0.10811948
MI1PP,0.001525688
MI1PS,0.001525688
FUMm,0.236001423
NDPK1,0.266215324
NDPK2,0.495532022
NDPK3,-0.00403012
NH4t,1.611028896
NH4tp,2.28E-15
G3PD1ir,0.007110283
PETOHM_SC,0.001727194
O2t,2
O2ter,0.000633305
O2tm,1.983954366
PEtm_SC,-3.02E-05
OAAt2m,0.179061587
OCBT,0.046260019
PFK,8.661416962
PFK_3,0.263462768
PGCD,0.164048907
PGI,8.706603802
PGK,-18.03820443
PGL,0.802470027
PGM,-17.87415552
PGMT,-0.482664425
OMCDC,0.085323395
OMPDC,0.031837947
ORNTACim,0.046260019
ORNt3m,0.046260019
PHETA1,-0.038545218
ORPT,-0.031837947
OXAGm,0.082387164
PPND2,0.029362302
PPNDH,0.038545218
P5CR,0.047411481
PINOS_SC,0.001525688
PIt2m,4.313050536
PAPSR,0.016494705
PIt2p,-4.18E-15
PIt2r,0.05691105
PC,0.565195523
PMANM,-0.232566702
PMDPHT,0.000284987
PMETM_SC,0.001727194
PDHm,0.708389043
PMEVK,0.003799827
PRAGSr,0.028495826
PYRt2m,1.086846083
PRAIS,0.028495826
PYRt2p,2.28E-15
PPA,1.155628232
PRAIi,0.008175386
PRAMPC,0.019085496
SLFAT,0.016494705
PRASCSi,0.028495826
RBFSa,0.000569974
RBFSb,0.000284987
SO4ti,0.022252019
PRATPP,0.019085496
PRFGS,0.028495826
RNDR1,6.05E-05
PRMICI,0.019085496
SPMDt3i,1.506441529
SPMDtex2,1.506441529
RNDR2,0.000690878
SQ23EPXter,0.000633305
SQLEr,0.000633305
RNDR4,0.001727194
SQLS,0.000633305
RNTR1,0.000975865
SQLter,0.000633305
RPE,0.45084263
RPI,-0.351057423
SACCD1,0.082387164
SACCD2,0.082387164
SUCCtm,0.015000682
SUCD2_u6m,0.236001423
SUCOASm,-0.221000741
SULR,0.016494705
PRPPS,0.087594655
SHK3Dr,0.076082905
SHKK,0.076082905
THIORDXp,-2.05E-15
PSCVT,0.076082905
TKT1,0.263462768
PSERDm_SC,0.00302259
TKT2,0.187379862
THRD_L,0.053571807
THRS,0.108669303
TMDS,0.001036317
TPI,8.917769447
TRDOXtp,2.05E-15
TRDR,0.019949093
TRDRDtp,-2.05E-15
TRE6PP,0.006736057
TRE6PS,0.006736057
PSERS_SC,0.003511962
VALTA,-0.076169265
TRIGS_SC,0.001899914
TRPS1,0.008175386
PSERT,0.164048907
TYRTAi,0.029362302
BIOMASS_SC5_notrace,0.287865704
UMPK,0.014594791
PSP_L,0.164048907
PStm_SC,3.02E-05
URIDK2r,-0.001727194
PYK,17.72198971
PYRDC,15.9460507
