reactions_strain0,km_strain0,reactions_strain1,km_strain1
EX_cit_e,2,,
EX_gam_e,2,,
EX_inost_e,2,,
EX_mobd_e,2,,
EX_so4_e,2,,
EX_phe__L_e,2,,
EX_thr__L_e,2,,
EX_uri_e,2,,
EX_halipa_e,2,,
EX_cmp_e,2,,
EX_malthx_e,2,,
EX_csn_e,2,,
EX_etoh_e,2,,
EX_his__L_e,2,,
EX_k_e,2,,
EX_na1_e,2,,
EX_dmso_e,2,,
EX_12ppd__S_e,2,,
EX_pppn_e,2,,
EX_acgam1p_e,2,,
EX_galt_e,2,,
EX_glcur1p_e,2,,
EX_thrp_e,2,,
EX_pydxn_e,2,,
EX_cys__L_e,2,,
EX_gsn_e,2,,
EX_orot_e,2,,
EX_o2_e,2,,
EX_gal_bD_e,2,,
EX_dump_e,2,,
EX_o2s_e,2,,
EX_gal1p_e,2,,
EX_dcmp_e,2,,
EX_23ccmp_e,2,,
EX_3cmp_e,2,,
EX_skm_e,2,,
EX_ag_e,2,,
EX_cys__D_e,2,,
EX_acser_e,2,,
EX_cu_e,2,,
EX_arbtn_e,2,,
EX_dopa_e,2,,
EX_hom__L_e,2,,
EX_LalaDgluMdapDala_e,2,,
EX_LalaDgluMdap_e,2,,
EX_anhgm_e,2,,
EX_fald_e,2,,
EX_g3pe_e,2,,
EX_pacald_e,2,,
EX_acgal_e,2,,
EX_so2_e,2,,
EX_dms_e,2,,
EX_acgal1p_e,2,,
EX_cyan_e,2,,
EX_tyrp_e,2,,
EX_uacgam_e,2,,
EX_udpacgal_e,2,,
EX_udpg_e,2,,
EX_udpgal_e,2,,
EX_udpglcur_e,2,,
EX_14glucan_e,2,,
EX_pser__L_e,2,,
EX_aso3_e,2,,
EX_tcynt_e,2,,
EX_fe3dhbzs_e,2,,
EX_feoxam_un_e,2,,
EX_g3pc_e,2,,
EX_g3pg_e,2,,
EX_g3pi_e,2,,
EX_g3ps_e,2,,
EX_peamn_e,2,,
EX_34dhpac_e,2,,
EX_xmp_e,2,,
EX_damp_e,2,,
EX_dimp_e,2,,
EX_isetac_e,2,,
EX_dgmp_e,2,,
EX_4hoxpacd_e,2,,
EX_manglyc_e,2,,
EX_metsox_R__L_e,2,,
EX_cl_e,2,,
EX_3hpppn_e,2,,
EX_man6p_e,2,,
EX_tsul_e,2,,
EX_n2o_e,2,,
EX_maltttr_e,2,,
EX_lipoate_e,2,,
EX_pydx_e,2,,
EX_g1p_e,2,,
GLCtex_copy2,2,,
EX_alaala_e,2,,
EX_dtmp_e,2,,
EX_progly_e,2,,
EX_12ppd__R_e,2,,
EX_urate_e,2,,
EX_cpgn_un_e,2,,
EX_tartr__D_e,2,,
EX_tungs_e,2,,
EX_crn__D_e,2,,
EX_psclys_e,2,,
EX_galctn__L_e,2,,
EX_5dglcn_e,2,,
EX_ppal_e,2,,
EX_slnt_e,2,,
EX_LalaDglu_e,2,,
EX_LalaLglu_e,2,,
EX_ttrcyc_e,2,,
EX_mincyc_e,2,,
EX_doxrbcn_e,2,,
EX_fusa_e,2,,
EX_cm_e,2,,
EX_novbcn_e,2,,
EX_rfamp_e,2,,
EX_quin_e,2,,
EX_3hpp_e,2,,
EX_5mtr_e,2,,
EX_arbt_e,2,,
EX_dxylnt_e,2,,
EX_mththf_e,2,,
EX_dhps_e,2,,
EX_cs1_e,2,,
EX_mepn_e,2,,
EX_sq_e,2,,
EX_4abzglu_e,2,,
EX_metglcur_e,2,,
EX_2dglc_e,2,,
EX_pi_e_reverse,2,,
EX_h_e_reverse,2,,
EX_fe3_e_reverse,2,,
EX_mn2_e_reverse,2,,
EX_co2_e_reverse,2,,
EX_fe2_e_reverse,2,,
EX_glc__D_e_reverse,2,,
EX_zn2_e_reverse,2,,
EX_mg2_e_reverse,2,,
EX_ca2_e_reverse,2,,
EX_ni2_e_reverse,2,,
EX_cu2_e_reverse,2,,
EX_cobalt2_e_reverse,2,,
EX_sel_e_reverse,2,,
EX_h2o_e_reverse,2,,
EX_nh4_e_reverse,2,,
EX_mobd_e_reverse,2,,
EX_so4_e_reverse,2,,
EX_k_e_reverse,2,,
EX_na1_e_reverse,2,,
EX_o2_e_reverse,2,,
EX_cl_e_reverse,2,,
GLCtex_copy2_reverse,2,,
EX_tungs_e_reverse,2,,
EX_slnt_e_reverse,2,,
